Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%)
top5,2024,1,January,2024-01,2024-01-01 13:30:00,2024-01-28 03:30:00,471821.68182972615,511519.9919683533,8.413837614387898,-1.2448275298236666,16.577382698123078,4,25.0
top5,2024,2,February,2024-02,2024-02-01 08:15:00,2024-02-29 14:00:00,511519.9919683533,501379.35849907866,-1.9824510534286244,-4.837613967487798,21.34142370999562,2,50.0
top5,2024,3,March,2024-03,2024-03-01 13:00:00,2024-03-29 14:30:00,514064.0352351619,542975.6226547593,5.624121789880054,-2.9740791982211467,21.433261858065332,4,25.0
top5,2024,4,April,2024-04,2024-04-01 03:00:00,2024-04-30 17:00:00,542975.6226547593,549593.1269141572,1.2187479480281427,-2.498075461309923,12.93584586481504,5,40.0
top5,2024,5,May,2024-05,2024-05-02 03:45:00,2024-05-31 08:00:00,554706.0637603548,599691.6227317817,8.10980119208895,-0.9086648699898503,12.011678295453072,7,28.57142857142857
top5,2024,6,June,2024-06,2024-06-01 10:00:00,2024-06-28 04:45:00,599691.6227317817,673113.4806133609,12.243268889953773,-2.147419458496458,20.532097434809796,5,40.0
top5,2024,7,July,2024-07,2024-07-02 15:00:00,2024-07-30 08:30:00,673113.4806133609,682231.8428282386,1.3546545237169916,-5.504975703743442,29.0644892415933,4,75.0
top5,2024,8,August,2024-08,2024-08-01 11:00:00,2024-08-31 02:30:00,684770.4106240073,748366.0083136315,9.28714160293107,-0.8527571056470951,23.703455839883457,2,50.0
top5,2024,9,September,2024-09,2024-09-01 16:00:00,2024-09-29 14:00:00,752353.8842297016,742600.3119683899,-1.2964075105823203,-9.217072509936076,30.257336452865314,6,33.33333333333333
top5,2024,10,October,2024-10,2024-10-02 03:30:00,2024-10-30 03:30:00,742600.3119683899,777633.3184606544,4.717612681767314,-0.07243830761487491,5.684355574868745,6,50.0
top5,2024,11,November,2024-11,2024-11-01 11:00:00,2024-11-29 14:45:00,745770.4415659023,871786.3582793281,16.897413693257768,-2.9631943019961304,20.661900323426902,6,66.66666666666666
top5,2024,12,December,2024-12,2024-12-01 12:00:00,2024-12-25 12:30:00,871786.3582793281,991135.866483617,13.690224338891088,-9.05753315283684,62.93362989924249,6,100.0
top5,2025,1,January,2025-01,2025-01-01 14:00:00,2025-01-31 12:30:00,991135.866483617,1025267.8655318784,3.4437255478763085,-18.823739619495395,77.82048160922835,8,87.5
top5,2025,2,February,2025-02,2025-02-02 11:00:00,2025-02-25 18:15:00,998095.5640003448,804831.7987756463,-19.363252597787508,-25.374704150459305,122.83858561697858,4,25.0
top5,2025,3,March,2025-03,2025-03-02 11:30:00,2025-03-04 21:30:00,804831.7987756463,814934.8255268368,1.2552966677708,-2.6362065752724484,53.01635583594542,1,100.0
