normalized_period,symbol,original_period,out_sample_range,metric_value,selected_based_on_period
363,BNBUSDT,232,2022-01-18 08:00:00 to 2022-01-20 08:00:00,0.0,362
365,LTCUSDT,244,2022-01-22 08:00:00 to 2022-01-24 08:00:00,-2.1806704591738892,364
367,DENTUSDT,99,2022-01-27 04:00:00 to 2022-01-29 04:00:00,-0.1086863467705006,366
368,ATOMUSDT,236,2022-01-27 12:00:00 to 2022-01-29 12:00:00,-1.1444425025182317,367
369,XLMUSDT,243,2022-01-30 08:00:00 to 2022-02-01 08:00:00,0.0,368
370,DOGEUSDT,186,2022-01-31 09:00:00 to 2022-02-02 09:00:00,0.0,369
371,SFPUSDT,111,2022-02-04 07:00:00 to 2022-02-06 07:00:00,0.0,370
373,XMRUSDT,241,2022-02-07 08:00:00 to 2022-02-09 08:00:00,0.8474340010272136,372
375,XLMUSDT,247,2022-02-11 08:00:00 to 2022-02-13 08:00:00,-3.5606888645244,374
377,PEOPLEUSDT,14,2022-02-16 04:00:00 to 2022-02-18 04:00:00,-4.136414886315524,376
379,SNXUSDT,181,2022-02-20 07:00:00 to 2022-02-22 07:00:00,2.1155644154651236,378
381,SXPUSDT,190,2022-02-23 09:00:00 to 2022-02-25 09:00:00,-3.421081813563978,380
383,BAKEUSDT,91,2022-02-28 07:00:00 to 2022-03-02 07:00:00,0.0,382
385,ADAUSDT,250,2022-03-03 08:00:00 to 2022-03-05 08:00:00,-0.200481248303331,384
387,AVAXUSDT,173,2022-03-08 07:00:00 to 2022-03-10 07:00:00,0.0,386
388,ALGOUSDT,206,2022-03-08 09:00:00 to 2022-03-10 09:00:00,0.0,387
389,LTCUSDT,260,2022-03-11 08:00:00 to 2022-03-13 08:00:00,0.8775652173912931,388
391,XMRUSDT,253,2022-03-15 08:00:00 to 2022-03-17 08:00:00,0.0,390
393,XLMUSDT,259,2022-03-19 08:00:00 to 2022-03-21 08:00:00,0.0,392
395,MKRUSDT,192,2022-03-24 07:00:00 to 2022-03-26 07:00:00,1.277915137849759,394
397,CTSIUSDT,47,2022-03-28 03:30:00 to 2022-03-30 03:30:00,4.764944791881244,396
398,SXPUSDT,201,2022-03-28 09:00:00 to 2022-03-30 09:00:00,-0.2549350674262496,397
399,DUSKUSDT,24,2022-04-01 03:30:00 to 2022-04-03 03:30:00,1.3396400933873884,398
401,SFPUSDT,131,2022-04-05 07:00:00 to 2022-04-07 07:00:00,-7.157008046100782,400
403,ADAUSDT,262,2022-04-08 08:00:00 to 2022-04-10 08:00:00,1.1047047891779584,402
405,DUSKUSDT,28,2022-04-13 03:30:00 to 2022-04-15 03:30:00,0.0,404
407,LTCUSDT,272,2022-04-16 08:00:00 to 2022-04-18 08:00:00,-1.038841018074527,406
409,XMRUSDT,265,2022-04-20 08:00:00 to 2022-04-22 08:00:00,0.9066670371105282,408
410,BNBUSDT,263,2022-04-21 08:00:00 to 2022-04-23 08:00:00,-0.1615522144464557,409
411,BNBUSDT,264,2022-04-24 08:00:00 to 2022-04-26 08:00:00,2.1253685919024425,410
413,BAKEUSDT,111,2022-04-29 07:00:00 to 2022-05-01 07:00:00,-11.142019787895444,412
415,ADAUSDT,270,2022-05-02 08:00:00 to 2022-05-04 08:00:00,0.0,414
417,SXPUSDT,214,2022-05-06 09:00:00 to 2022-05-08 09:00:00,-3.401918681984771,416
419,SFPUSDT,143,2022-05-11 07:00:00 to 2022-05-13 07:00:00,-9.433027334235849,418
421,DENTUSDT,135,2022-05-15 04:00:00 to 2022-05-17 04:00:00,8.33203458993461,420
422,ATOMUSDT,272,2022-05-15 12:00:00 to 2022-05-17 12:00:00,0.0,421
423,XLMUSDT,279,2022-05-18 08:00:00 to 2022-05-20 08:00:00,0.0,422
424,GMTUSDT,18,2022-05-20 04:00:00 to 2022-05-22 04:00:00,1.8225160960654283,423
425,LTCUSDT,284,2022-05-22 08:00:00 to 2022-05-24 08:00:00,0.0,424
426,DENTUSDT,138,2022-05-24 04:00:00 to 2022-05-26 04:00:00,4.154824557412394,425
427,CTSIUSDT,67,2022-05-27 03:30:00 to 2022-05-29 03:30:00,6.0005820891988515,426
428,XLMUSDT,282,2022-05-27 08:00:00 to 2022-05-29 08:00:00,0.3894744448574238,427
429,XLMUSDT,283,2022-05-30 08:00:00 to 2022-06-01 08:00:00,0.0,428
430,DYDXUSDT,84,2022-06-01 03:30:00 to 2022-06-03 03:30:00,-1.99685391425568,429
431,DYDXUSDT,85,2022-06-04 03:30:00 to 2022-06-06 03:30:00,0.0,430
433,SNXUSDT,217,2022-06-08 07:00:00 to 2022-06-10 07:00:00,3.056214589027713,432
