normalized_period,symbol,original_period,out_sample_range,metric_value,selected_based_on_period
394,BAKEUSDT,58,2021-11-21 07:00:00 to 2021-11-23 07:00:00,-0.8732231791940467,393
395,BANDUSDT,157,2021-11-24 07:00:00 to 2021-11-26 07:00:00,0.0,394
396,MANAUSDT,81,2021-11-25 07:00:00 to 2021-11-27 07:00:00,-7.501598400474704,395
397,LRCUSDT,131,2021-11-28 07:00:00 to 2021-11-30 07:00:00,2.9132639564717464,396
398,ALGOUSDT,173,2021-11-29 09:00:00 to 2021-12-01 09:00:00,0.0,397
399,AVAXUSDT,141,2021-12-02 07:00:00 to 2021-12-04 07:00:00,-2.20335185463935,398
400,UNIUSDT,143,2021-12-03 07:00:00 to 2021-12-05 07:00:00,-17.760661111710505,399
401,XMRUSDT,220,2021-12-06 08:00:00 to 2021-12-08 08:00:00,0.0,400
403,CTSIUSDT,11,2021-12-10 03:30:00 to 2021-12-12 03:30:00,0.0,402
405,AVAXUSDT,145,2021-12-14 07:00:00 to 2021-12-16 07:00:00,0.0,404
407,ETCUSDT,230,2021-12-18 08:00:00 to 2021-12-20 08:00:00,0.0,406
409,LRCUSDT,139,2021-12-22 07:00:00 to 2021-12-24 07:00:00,1.7322594234227835,408
410,AVAXUSDT,148,2021-12-23 07:00:00 to 2021-12-25 07:00:00,-0.2720692280165713,409
411,ZECUSDT,226,2021-12-26 08:00:00 to 2021-12-28 08:00:00,-2.2645211334906343,410
413,BTCDOMUSDT,60,2021-12-30 03:30:00 to 2022-01-01 03:30:00,0.0,412
415,1000XECUSDT,32,2022-01-03 03:30:00 to 2022-01-05 03:30:00,2.1510174556572745,414
417,LPTUSDT,15,2022-01-07 03:30:00 to 2022-01-09 03:30:00,-9.311442459349818,416
419,XMRUSDT,232,2022-01-11 08:00:00 to 2022-01-13 08:00:00,0.0,418
421,STORJUSDT,158,2022-01-15 07:00:00 to 2022-01-17 07:00:00,0.9717528424976808,420
422,CHZUSDT,116,2022-01-16 07:00:00 to 2022-01-18 07:00:00,0.0142476021724905,421
423,AVAXUSDT,157,2022-01-19 07:00:00 to 2022-01-21 07:00:00,-2.398488282435683,422
425,BANDUSDT,177,2022-01-23 07:00:00 to 2022-01-25 07:00:00,0.4499599300553018,424
427,DASHUSDT,237,2022-01-27 08:00:00 to 2022-01-29 08:00:00,0.0,426
429,ATAUSDT,47,2022-01-31 03:30:00 to 2022-02-02 03:30:00,0.0,428
431,UNIUSDT,164,2022-02-04 07:00:00 to 2022-02-06 07:00:00,0.0,430
433,STORJUSDT,166,2022-02-08 07:00:00 to 2022-02-10 07:00:00,0.3600017790438323,432
435,RLCUSDT,183,2022-02-12 07:00:00 to 2022-02-14 07:00:00,-4.167090813724007,434
437,ENSUSDT,22,2022-02-16 03:30:00 to 2022-02-18 03:30:00,-5.900965600892541,436
438,ZRXUSDT,197,2022-02-17 09:00:00 to 2022-02-19 09:00:00,-8.77074279059052,437
439,RUNEUSDT,174,2022-02-20 07:00:00 to 2022-02-22 07:00:00,-0.0746535380747082,438
