normalized_period,symbol,original_period,out_sample_range,winning_trades,total_trades,win_rate,net_profit,selected_based_on_period
579,CELOUSDT,138,2022-11-27 03:30:00 to 2022-11-29 03:30:00,0,0,0.0,0.0,578
581,ENSUSDT,118,2022-12-01 03:30:00 to 2022-12-03 03:30:00,0,0,0.0,0.0,580
583,DASHUSDT,341,2022-12-05 08:00:00 to 2022-12-07 08:00:00,1,1,100.0,0.09473141084701542,582
584,KNCUSDT,295,2022-12-06 08:45:00 to 2022-12-08 08:45:00,1,1,100.0,1.1744203877164683,583
585,LDOUSDT,22,2022-12-09 12:00:00 to 2022-12-11 12:00:00,0,0,0.0,0.0,584
586,WOOUSDT,78,2022-12-10 03:30:00 to 2022-12-12 03:30:00,0,0,0.0,0.0,585
587,DOTUSDT,277,2022-12-13 07:00:00 to 2022-12-15 07:00:00,0,0,0.0,0.0,586
589,CRVUSDT,275,2022-12-17 07:00:00 to 2022-12-19 07:00:00,0,1,0.0,-1.1209247119042587,588
591,MTLUSDT,206,2022-12-21 07:00:00 to 2022-12-23 07:00:00,0,1,0.0,-4.64088829119661,590
593,DOTUSDT,281,2022-12-25 07:00:00 to 2022-12-27 07:00:00,0,0,0.0,0.0,592
595,STORJUSDT,274,2022-12-29 07:00:00 to 2022-12-31 07:00:00,0,0,0.0,0.0,594
597,DOGEUSDT,298,2023-01-02 09:00:00 to 2023-01-04 09:00:00,0,0,0.0,0.0,596
598,BTCDOMUSDT,183,2023-01-03 03:30:00 to 2023-01-05 03:30:00,0,0,0.0,0.0,597
599,MKRUSDT,288,2023-01-06 07:00:00 to 2023-01-08 07:00:00,0,0,0.0,0.0,598
601,MASKUSDT,163,2023-01-10 03:30:00 to 2023-01-12 03:30:00,0,1,0.0,-0.3865385433216795,600
603,KAVAUSDT,296,2023-01-14 07:00:00 to 2023-01-16 07:00:00,0,0,0.0,0.0,602
605,BAKEUSDT,199,2023-01-18 07:00:00 to 2023-01-20 07:00:00,1,2,50.0,-1.1910496842914897,604
607,BELUSDT,261,2023-01-22 07:00:00 to 2023-01-24 07:00:00,0,0,0.0,0.0,606
609,TRXUSDT,365,2023-01-26 08:00:00 to 2023-01-28 08:00:00,0,0,0.0,0.0,608
611,DOTUSDT,293,2023-01-30 07:00:00 to 2023-02-01 07:00:00,0,0,0.0,0.0,610
613,CTSIUSDT,151,2023-02-03 03:30:00 to 2023-02-05 03:30:00,0,0,0.0,0.0,612
615,ATAUSDT,171,2023-02-07 03:30:00 to 2023-02-09 03:30:00,0,0,0.0,0.0,614
617,IOTAUSDT,361,2023-02-11 08:00:00 to 2023-02-13 08:00:00,1,1,100.0,0.9071267946823003,616
618,FILUSDT,279,2023-02-12 06:00:00 to 2023-02-14 06:00:00,0,0,0.0,0.0,617
619,DENTUSDT,227,2023-02-15 04:00:00 to 2023-02-17 04:00:00,1,1,100.0,1.515206509944944,618
620,GTCUSDT,201,2023-02-16 03:30:00 to 2023-02-18 03:30:00,0,1,0.0,-1.2079316383330374,619
621,VETUSDT,363,2023-02-19 08:00:00 to 2023-02-21 08:00:00,0,0,0.0,0.0,620
623,MKRUSDT,304,2023-02-23 07:00:00 to 2023-02-25 07:00:00,0,0,0.0,0.0,622
624,ZENUSDT,270,2023-02-24 07:00:00 to 2023-02-26 07:00:00,0,0,0.0,0.0,623
625,IOTXUSDT,184,2023-02-27 03:30:00 to 2023-03-01 03:30:00,0,0,0.0,0.0,624
627,DOGEUSDT,318,2023-03-03 09:00:00 to 2023-03-05 09:00:00,0,0,0.0,0.0,626
629,ENSUSDT,150,2023-03-07 03:30:00 to 2023-03-09 03:30:00,0,0,0.0,0.0,628
631,ZRXUSDT,326,2023-03-11 09:00:00 to 2023-03-13 09:00:00,0,1,0.0,-0.2673923009974155,630
